"local_filename","local_path","technique_id","shared_technique_id","character_id","character_slug","character_name","phase_id","phase_label","final_title","description","tags","category","publish_status","visibility","upload_status","youtube_video_id","notes","anatomy_path","poster_path"
"01_cloud_split_1_loading.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\01_cloud_split_1_loading.mp4","kata_01_cloud_split","kata_01_cloud_split",,,,"1_loading","Loading","Cloud-Leap (Split-Step) - Loading","Technique: Cloud-Leap (Split-Step)
Category: Footwork
Phase: Loading
Source file: 01_cloud_split_1_loading.mp4","Footwork, Cloud-Leap (Split-Step), Loading","Footwork","ready","unlisted","ready_to_upload","","","/media/anatomy/01_cloud_split_1_loading_anatomy.png",""
"01_cloud_split_2_transition.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\01_cloud_split_2_transition.mp4","kata_01_cloud_split","kata_01_cloud_split",,,,"2_transition","Transition","Cloud-Leap (Split-Step) - Transition","Technique: Cloud-Leap (Split-Step)
Category: Footwork
Phase: Transition
Source file: 01_cloud_split_2_transition.mp4","Footwork, Cloud-Leap (Split-Step), Transition","Footwork","ready","unlisted","ready_to_upload","","","/media/anatomy/01_cloud_split_2_transition_anatomy.png",""
"01_cloud_split_3_execution.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\01_cloud_split_3_execution.mp4","kata_01_cloud_split","kata_01_cloud_split",,,,"3_execution","Execution","Cloud-Leap (Split-Step) - Execution","Technique: Cloud-Leap (Split-Step)
Category: Footwork
Phase: Execution
Source file: 01_cloud_split_3_execution.mp4","Footwork, Cloud-Leap (Split-Step), Execution","Footwork","ready","unlisted","ready_to_upload","","","/media/anatomy/01_cloud_split_3_execution_anatomy.png",""
"01_cloud_split_4_stabilization.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\01_cloud_split_4_stabilization.mp4","kata_01_cloud_split","kata_01_cloud_split",,,,"4_stabilization","Stabilization","Cloud-Leap (Split-Step) - Stabilization","Technique: Cloud-Leap (Split-Step)
Category: Footwork
Phase: Stabilization
Source file: 01_cloud_split_4_stabilization.mp4","Footwork, Cloud-Leap (Split-Step), Stabilization","Footwork","ready","unlisted","ready_to_upload","","","/media/anatomy/01_cloud_split_4_stabilization_anatomy.png",""
"02_golden_hinge_1_loading.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\02_golden_hinge_1_loading.mp4","kata_02_golden_hinge","kata_02_golden_hinge",,,,"1_loading","Loading","Golden Hinge (Dink) - Loading","Technique: Golden Hinge (Dink)
Category: Soft Game
Phase: Loading
Source file: 02_golden_hinge_1_loading.mp4","Soft Game, Golden Hinge (Dink), Loading","Soft Game","ready","unlisted","ready_to_upload","","","/media/anatomy/02_golden_dink_1_loading_anatomy.png",""
"02_golden_hinge_2_transition.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\02_golden_hinge_2_transition.mp4","kata_02_golden_hinge","kata_02_golden_hinge",,,,"2_transition","Transition","Golden Hinge (Dink) - Transition","Technique: Golden Hinge (Dink)
Category: Soft Game
Phase: Transition
Source file: 02_golden_hinge_2_transition.mp4","Soft Game, Golden Hinge (Dink), Transition","Soft Game","ready","unlisted","ready_to_upload","","","/media/anatomy/02_golden_dink_2_transition_anatomy.png",""
"02_golden_hinge_3_execution.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\02_golden_hinge_3_execution.mp4","kata_02_golden_hinge","kata_02_golden_hinge",,,,"3_execution","Execution","Golden Hinge (Dink) - Execution","Technique: Golden Hinge (Dink)
Category: Soft Game
Phase: Execution
Source file: 02_golden_hinge_3_execution.mp4","Soft Game, Golden Hinge (Dink), Execution","Soft Game","ready","unlisted","ready_to_upload","","","/media/anatomy/02_golden_dink_3_execution_anatomy.png",""
"02_golden_hinge_4_stabilization.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\02_golden_hinge_4_stabilization.mp4","kata_02_golden_hinge","kata_02_golden_hinge",,,,"4_stabilization","Stabilization","Golden Hinge (Dink) - Stabilization","Technique: Golden Hinge (Dink)
Category: Soft Game
Phase: Stabilization
Source file: 02_golden_hinge_4_stabilization.mp4","Soft Game, Golden Hinge (Dink), Stabilization","Soft Game","ready","unlisted","ready_to_upload","","","/media/anatomy/02_golden_dink_4_stabilization_anatomy.png",""
"03_heavenly_arc_1_loading.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\03_heavenly_arc_1_loading.mp4","kata_03_heavenly_arc","kata_03_heavenly_arc",,,,"1_loading","Loading","Heavenly Arc (Slice Drop) - Loading","Technique: Heavenly Arc (Slice Drop)
Category: Drops & Resets
Phase: Loading
Source file: 03_heavenly_arc_1_loading.mp4","Drops & Resets, Heavenly Arc (Slice Drop), Loading","Drops & Resets","ready","unlisted","ready_to_upload","","","/media/anatomy/03_heavenly_arc_1_loading_anatomy.png",""
"03_heavenly_arc_2_transition.mp4","C:\zGithub\pickleballkata\biomechanical_mastery_library\03_heavenly_arc_2_transition.mp4","kata_03_heavenly_arc","kata_03_heavenly_arc",,,,"2_transition","Transition","Heavenly Arc (Slice Drop) - Transition","Technique: Heavenly Arc (Slice Drop)
Category: Drops & Resets
Phase: Transition
Source file: 03_heavenly_arc_2_transition.mp4","Drops & Resets, Heavenly Arc (Slice Drop), Transition","Drops & Resets","ready","unlisted","ready_to_upload","","","/media/anatomy/03_heavenly_arc_2_transition_anatomy.png",""
